,,First Semester -Humanities(103)- Internals 1,,,,,
,,,,,,,
Roll.No,,Name,,,Marks Obtained,,
11001,, Arav Arora,,,21,,
11002,, Aditya Sengupta,,,17,,
11003,,Vishnu Lata,,,18,,
11004,,Vihaan Sen,,,19,,
11005,,Nirvik Bhattacharya,,,22,,
11006,,Arjun Kapoor,,,21,,
11007,,Akshit Bhatia,,,17,,
11008,,Reyansh Roy,,,18,,
11009,,Arnav Paul,,,17,,
11010,,Ayaan Sinha,,,19,,
11011,,Krishna Shaw,,,23,,
11012,,Ishaan Mukherjee,,,24,,
11013,,Pranav Adhikari,,,12,,
11014,,Alia Agarwal,,,15,,
11015,,Madhabi Ahuliawala,,,10,,
11016,,Vignesh Gupta,,,15,,
11017,,Ahona Sen,,,11,,
11018,,Anirban Das Gupta,,,15,,
11019,,Ankan Saha,,,12,,
11020,,Nikita Roy Chowdhury,,,13,,
11021,,Niharika Sen Gupta,,,17,,
11022,,Alok Lata,,,19,,
11023,,Dhruv Singhania,,,22,,
11024,,Shibendu Sarkar,,,21,,
11025,,Garima Faizal,,,18,,
11026,,Neel Adhikari,,,12,,
11027,,Yogendra Pallav,,,16,,
11028,,Neelanjana Banerjee,,,18,,
11029,,Anusree Kundu,,,21,,
11030,,Aishwarya Sen,,,22,,
