Seventh Semester -Image Processing(401)- Internals 2,,,,,,
,,,,,,
Roll. No,,Name,,,Marks Obtained,
,,,,,,
41001,,Jyotish Prakar,,,21,
41002,,Arnav Yohannan,,,15,
41003,,Udai Saini,,,13,
41004,,Gyan Prasad,,,12,
41005,,Varun Bhavsar,,,17,
41006,,Kriti Pal,,,19,
41007,,Anushka Sen,,,22,
41008,,Raman Agarwal,,,25,
41009,,Sunaina Chowdhary,,,20,
41010,,Sanjukta Arora,,,10,
41011,,Bhavesh Singhania,,,16,
41012,,Ankit Mukherjee,,,21,
41013,,Sucharita Sarkar,,,22,
41014,,Kamlesh Yadav,,,14,
41015,,Shavan Kumar,,,19,
41016,,Madhavan Acharya,,,23,
41017,,Dev Adhikari,,,18,
41018,,Suman Roy Chowdhury,,,23,
41019,,Shashank Vyas,,,10,
41020,,Shalini Chatterjee,,,21,
41021,,Malini Maity,,,16,
41022,,Soham Das,,,18,
41023,,Sohini Sammadar,,,25,
41024,,Pravesh Rathore,,,24,
41025,,Ambalika Sinha Roy,,,19,
41026,,Ayushi Pravakar,,,15,
41027,,Ishita Majumdar,,,12,
41028,,Pritam Banerjee,,,20,
41029,,Aman Kumar,,,17,
41030,,Vishal Dutta,,,16,
