Third Semester -Humanities(202)- Internals 1,,,,,,
,,,,,,
Roll. No,,Name,,Marks Obtained,,
,,,,,,
21001,,Shaurya Sen,,19,,
21002,,Atharv Vishisht,,16,,
21003,,Advik Das,,14,,
21004,,Pranav Pramanik,,17,,
21005,,Advaith Banik,,14,,
21006,,Aryan Roy,,21,,
21007,,Dhruvi Das,,25,,
21008,,Kabir Ghosh,,21,,
21009,,Aarush Bhowmik,,23,,
21010,,Veer Singh,,22,,
21011,,Rai Basak,,21,,
21012,,Simran Singh,,21,,
21013,,Vikram Chauhan,,24,,
21014,,Ramesh Choudhary,,21,,
21015,,Purvi Chatterjee,,24,,
21016,,Sujata SenGupta,,12,,
21017,,Sameer Saha,,23,,
21018,,Navaneel Sarkar,,25,,
21019,,Lakshmi Singhania,,21,,
21020,,Kajol Kundu,,11,,
21021,,Dev Kumar,,14,,
21022,,Debanjana Hazra,,12,,
21023,,Aishi Burman,,21,,
21024,,Madhu Mukherjee,,24,,
21025,,Shivika Chandak,,19,,
21026,,Ophelia Bhowmik,,10,,
21027,,Parnika Sen,,18,,
21028,,Anjan Basu,,9,,
21029,,Ranjan Kumar,,17,,
21030,,Niranjan Singh,,13,,
