Fifth Semester -Software Engineering(305)- Internals 2,,,,,,
,,,,,,
Roll. No,,Name,,Marks Obtained,,
,,,,,,
31001,,Priya Bakshi,,22,,
31002,,Tanya Chakraborty,,21,,
31003,,Priyanka Khosla,,21,,
31004,,Divya Bhatiya,,21,,
31005,,Tanvi Rathore,,21,,
31006,,Ishita Jalan,,21,,
31007,,Vani Kumar,,10,,
31008,,Anjan Pandey,,14,,
31009,,Anjali Shukla,,12,,
31010,,Sneha Ghosh,,15,,
31011,,Suman Pal,,12,,
31012,,Ajay Shaw,,21,,
31013,,Agni Praveen,,25,,
31014,,Avinash Jha,,21,,
31015,,Pravesh Kulkarni,,21,,
31016,,Vinod Sammi,,10,,
31017,,Riya Ghosh,,12,,
31018,,Sanjana Sharma,,10,,
31019,,Niharika Khanna,,12,,
31020,,Ravi Kumar,,12,,
31021,,Gayatri Pravakar,,14,,
31022,,Neha Kumar,,6,,
31023,,Suhani Sikdar,,15,,
31024,,Pallavi Sen,,14,,
31025,,Priyankar Gandhi,,15,,
31026,,Kumar Seth,,14,,
31027,,Nishi Sinha,,2,,
31028,,Ananya Devi,,23,,
31029,,Varsha Malhotra,,21,,
31030,,Simmy Chopra,,23,,
